index,countyName,countyFrom,countyID,unemploymentRate
0,North Slope,AK,2185,5.7
1,Northwest Arctic,AK,2188,13.2
2,Ketchikan Gateway,AK,2130,6.1
3,Prince of Wales-Outer Ketchikan,AK,2201,13.6
4,Wrangell-Petersburg,AK,2280,9.8
5,Sitka,AK,2220,5.9
6,Haines,AK,2100,6.2
7,Juneau,AK,2110,5.7
8,Skagway-Hoonah-Angoon,AK,2232,7.3
9,Yakutat,AK,2282,6.3
10,Aleutians West,AK,2016,8.4
11,Aleutians East,AK,2013,10.1
12,Kodiak Island,AK,2150,6.6
13,Bristol Bay,AK,2060,3.6
14,Dillingham,AK,2070,8.4
15,Lake and Peninsula,AK,2164,5.9
16,Kenai Peninsula,AK,2122,9.7
17,Anchorage,AK,2020,7
18,Valdez-Cordova,AK,2261,6.4
19,Matanuska-Susitna,AK,2170,8.8
20,Fairbanks,AK,2240,6.9
21,Fairbanks North Stark,AK,2090,6.9
22,Denali,AK,2068,3.4
23,Bethel,AK,2050,14.8
24,Wade Hampton,AK,2270,20.4
25,Nome,AK,2180,12.1
26,Yukon-Koyukuk,AK,2290,13.6
27,Houston,AL,1069,8.9
28,Henry,AL,1067,9.9
29,Geneva,AL,1061,10
30,Dale,AL,1045,9.3
31,Coffee,AL,1031,8.5
32,Covington,AL,1039,10.1
33,Mobile,AL,1097,11.1
34,Baldwin,AL,1003,9.1
35,Escambia,AL,1053,12.9
36,Conecuh,AL,1035,19.5
37,Washington,AL,1129,15.1
38,Choctaw,AL,1023,12.7
39,Clarke,AL,1025,17
40,Monroe,AL,1099,18.7
41,Wilcox,AL,1131,25.6
42,Butler,AL,1013,16.7
43,Crenshaw,AL,1041,9.7
44,Pike,AL,1109,8.7
45,Bullock,AL,1011,16.4
46,Macon,AL,1087,11.4
47,Lowndes,AL,1085,18.5
48,Montgomery,AL,1101,10.2
49,Elmore,AL,1051,9
50,Autauga,AL,1001,9.7
51,Dallas,AL,1047,21.1
52,Marengo,AL,1091,14.8
53,Sumter,AL,1119,13.9
54,Perry,AL,1105,19.8
55,Chilton,AL,1021,9.9
56,Coosa,AL,1037,14
57,Tallapoosa,AL,1123,13.7
58,Clay,AL,1027,15.9
59,Talladega,AL,1121,13.6
60,Shelby,AL,1117,7.6
61,Bibb,AL,1007,12.1
62,Hale,AL,1065,12.7
63,Greene,AL,1063,14.7
64,Pickens,AL,1107,13
65,Tuscaloosa,AL,1125,9
66,Jefferson,AL,1073,10.7
67,Walker,AL,1127,11.9
68,Lamar,AL,1075,14.8
69,Fayette,AL,1057,12.8
70,Franklin,AL,1059,12.3
71,Marion,AL,1093,15.2
72,Winston,AL,1133,17.5
73,Cullman,AL,1043,9.6
74,Blount,AL,1009,9.9
75,St. Clair,AL,1115,10.7
76,Calhoun,AL,1015,10.8
77,Etowah,AL,1055,10.7
78,Marshall,AL,1095,9.2
79,Morgan,AL,1103,10.4
80,Lawrence,AL,1079,13.6
81,Colbert,AL,1033,11.4
82,Lauderdale,AL,1077,10.5
83,Limestone,AL,1083,9.3
84,Madison,AL,1089,7.5
85,Jackson,AL,1071,11.8
86,DeKalb,AL,1049,14.3
87,Cherokee,AL,1019,11.8
88,Cleburne,AL,1029,10.4
89,Randolph,AL,1111,15.1
90,Chambers,AL,1017,18.6
91,Lee,AL,1081,8.6
92,Russell,AL,1113,12.6
93,Barbour,AL,1005,13.4
94,Chicot,AR,5017,9.6
95,Ashley,AR,5003,9.1
96,Pope,AR,5115,6.2
97,Newton,AR,5101,6.2
98,Madison,AR,5087,5.3
99,Franklin,AR,5047,5.9
100,Johnson,AR,5071,6.1
101,Logan,AR,5083,7.7
102,Yell,AR,5149,6.4
103,Perry,AR,5105,5.6
104,Conway,AR,5029,6.5
105,Faulkner,AR,5045,6
106,Van Buren,AR,5141,9.1
107,Searcy,AR,5129,5.9
108,Stone,AR,5137,6.6
109,Cleburne,AR,5023,5.9
110,White,AR,5145,6.7
111,Independence,AR,5063,7.8
112,Jackson,AR,5067,9.2
113,Woodruff,AR,5147,9.1
114,St. Francis,AR,5123,9.4
115,Crittenden,AR,5035,9.9
116,Cross,AR,5037,7.1
117,Poinsett,AR,5111,7.5
118,Mississippi,AR,5093,11.3
119,Craighead,AR,5031,5.9
120,Izard,AR,5065,7.7
121,Lawrence,AR,5075,7.9
122,Sharp,AR,5135,7.8
123,Greene,AR,5055,8.2
124,Clay,AR,5021,10.4
125,Randolph,AR,5121,7.3
126,Fulton,AR,5049,6.1
127,Baxter,AR,5005,8.2
128,Marion,AR,5089,11.2
129,Boone,AR,5009,6.4
130,Carroll,AR,5015,4.3
131,Benton,AR,5007,5.3
132,Washington,AR,5143,5
133,Crawford,AR,5033,6.6
134,Sebastian,AR,5131,6.2
135,Scott,AR,5127,6.3
136,Montgomery,AR,5097,5.8
137,Garland,AR,5051,6.6
138,Saline,AR,5125,5.8
139,Pulaski,AR,5119,6
140,Lonoke,AR,5085,5.2
141,Prairie,AR,5117,6.7
142,Monroe,AR,5095,7.4
143,Lee,AR,5077,8.2
144,Phillips,AR,5107,8.8
145,Jefferson,AR,5069,9.2
146,Grant,AR,5053,5.7
147,Hot Spring,AR,5059,7.3
148,Dallas,AR,5039,7.6
149,Cleveland,AR,5025,6
150,Lincoln,AR,5079,8.2
151,Arkansas,AR,5001,14.3
152,Desha,AR,5041,9.9
153,Drew,AR,5043,9.1
154,Bradley,AR,5011,7.8
155,Calhoun,AR,5013,6.2
156,Ouachita,AR,5103,7.1
157,Nevada,AR,5099,8.7
158,Hempstead,AR,5057,8.6
159,Clark,AR,5019,6.3
160,Pike,AR,5109,6.3
161,Howard,AR,5061,7.2
162,Polk,AR,5113,6.4
163,Sevier,AR,5133,5.1
164,Little River,AR,5081,5.6
165,Miller,AR,5091,4.5
166,Lafayette,AR,5073,8.6
167,Columbia,AR,5027,8.1
168,Union,AR,5139,9.5
169,Mohave,AZ,4015,10.2
170,La Paz,AZ,4012,8.9
171,Cochise,AZ,4003,7.4
172,Santa Cruz,AZ,4023,17.2
173,Pima,AZ,4019,8.4
174,Greenlee,AZ,4011,21.5
